Source,Venue Name,Street Address 1,Suburb,State,Postcode,Full Address,LGA,Metro / Regional,M/OM/R,Tourism Area,Contact Person First Name,Contact Person Surname,Contact Person Email,Contact Person Phone,General Email,General Phone,Website,Role,Venue Capacity,Venue Size,Venue Subdivision (as per APRA),Live,DJ,Venue Category,MV Determined Performance Type,Licence Type,Trading Hours,Frequency of Music Presentation,Presentation Classification,Booker,Sound Engineer,Cover Charge,Artist Payment,As per NSW definitions,As per UK definitions,Grouping,Group Definition,ABN,GST,TAGS,Lat,Long,GLat,GLong,Geocode Latitude,Geocode Longitude
VLMVA,'Cornerstone Port Melbourne',1 Crockford Street,Port Melbourne,VIC,3207.0,1 Crockford Street Port Melbourne VIC 3207 ,Port Phillip City Council,Metro,Metro,Melbourne,,,,,contact@thecornerstonepub.com.au,+61 3 9645 1405,https://www.thecornerstonepub.com.au,Venue,140,Small,,,,Under 500,,Late-Night (General) Licence,Trading to 3am,2 or more a week,Dedicated presenters: More than 1 a week,,,,,,,Grouping,Group Definition,,,Venues,-37.834618,144.946425,-38.2334434,146.3905013,-38.2334434,146.3905013
VLMVA,112 York,112 York Street,South Melbourne,VIC,3205.0,112 York Street South Melbourne VIC 3205 ,Port Phillip City Council,Metro,Metro,Melbourne,,,,,Info@112york.com.au,+61 3 9682 2692,https://www.112york.com.au,Venue,40,Small,,,,Under 500,,General Licence,Trading to 1am,1 or more a week,Regular presenters: Hosting one gig per week,,,,,,,Group A,Group A – Venues hosting 2 or more gigs per week,,,Venues,-37.83101086,144.9581157,-37.7550835,145.6841393,-37.7550835,145.6841393
VLMVA,12 Bar Belgrave,1675 Burwood Hwy,Belgrave,VIC,3160.0,1675 Burwood Hwy Belgrave VIC 3160 ,Yarra Ranges Shire Council,Regional,Outer Metro,Yarra Valley and Dandenong Ranges,,,,,admin@12barbelgrave.com.au,0439 956 567,,Venue,50,Small,Bar,Live,,Under 500,,On-Premises Licence,Trading to 1am,1 or more a week,Regular presenters: Hosting one gig per week,,,,,,,Group B,Group B – Venues hosting 1 or more gig per week,,,Venues,-37.9088716,145.3543973,-37.6424192,144.4277777,-37.6424192,144.4277777
VLMVA,170 Russell,170 Russell Street,Melbourne,VIC,3000.0,170 Russell Street Melbourne VIC 3000 ,Melbourne City Council,Metro,Metro,Melbourne,Keiran,Dole,keiran@luckygroup.au,+61 433 644 365,keiran@luckygroup.au,+61 3 9639 4000,http://170russell.com/,Venue,932,Medium,Night Club,Live,DJ,500+,"Mix of Originals, Covers, Tributes and DJs",Late-Night (On-Premises) Licence,Trading to 7am,3 or more a week,Dedicated presenters: More than 1 a week,"Yes, and it is paid role","Yes, and it is a paid role",YES,All models,Dedicated Live Music Venue,Large GMV,Group B,Group B – Venues hosting 1 or more gig per week,77 623 159 026,Yes,Venues,-37.81204345,144.9680382,-37.8119107,144.9680341,-37.8119107,144.9680341
VLMVA,1895 The Royal,183 Hare Street,Echuca,VIC,3564.0,183 Hare Street Echuca VIC 3564 ,Campaspe Shire Council,Regional,Regional,Murray,,,,,contact@callaghanhospitalitygroup.com.au,+61 3 5480 7626,https://www.1895theroyal.com.au,Venue,372,Medium,Hotel,Live,,Under 500,,Late-Night (General) Licence,Trading to 3am,1 or more a week,Regular presenters: Hosting one gig per week,,,,,,,Group A,Group A – Venues hosting 2 or more gigs per week,,,Venues,-36.12623066,144.7488475,-36.1262307,144.7488475,-36.1262307,144.7488475
VLMVA,1915,"Ph2, 13-35 Mackey Street",North Geelong,VIC,3215.0,"Ph2, 13-35 Mackey Street North Geelong VIC 3215 ",Greater Geelong City Council,Regional,Regional,Geelong and the Bellarine,,,,,,,,Venue,550,Medium,,,,500+,,General Licence,No Data,Hosts functions,Function presenters: Hosting gigs with indeterminate regularity,,,,,,,Group B,Group B – Venues hosting 1 or more gig per week,,,Venues,-38.11506097,144.3568668,-38.1150628,144.3569609,-38.1150628,144.3569609
VLMVA,2 Brothers Brewery,4 Joyner Street,Moorabbin,VIC,3189.0,4 Joyner Street Moorabbin VIC 3189 ,Kingston City Council,Metro,Metro,Melbourne,,,,,,,,Venue,194,Small,,,,Under 500,,General Licence,Trading to 12 Midnight,Hosts functions,Function presenters: Hosting gigs with indeterminate regularity,,,,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,,,Venues,-37.94266705,145.0687193,-36.7615921,144.3118291,-36.7615921,144.3118291
VLMVA,2 Chambers,13-15 James Street,Geelong,VIC,3220.0,13-15 James Street Geelong VIC 3220 ,Greater Geelong City Council,Regional,Regional,Geelong and the Bellarine,,,,,info@2chambersgeelong.com,0438 371 824,,Venue,311,Medium,,,,Under 500,,Late-Night (On-Premises) Licence,Trading to 3am,1 or more a week,Regular presenters: Hosting one gig per week,,,,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,,,Venues,-38.1485072,144.3588127,-38.1485072,144.3588127,-38.1485072,144.3588127
APRA,2 Men,25 High St,Berwick,VIC,3806.0,25 High St Berwick VIC 3806 ,Casey City Council,Metro,Outer Metro,Melbourne,,,,,,,,Venue,120,Small,Restaurant or Cafe,Live,,Under 500,,Late-Night (On-Premises) Licence,Trading to 2am,No Data,No Data,,,,,,,Group B,Group B – Venues hosting 1 or more gig per week,,,Venues,-38.030862,145.345723,-37.840334,144.9652943,-37.840334,144.9652943
VLMVA,215 Queen's,215 Queen Street,Melbourne,VIC,3000.0,215 Queen Street Melbourne VIC 3000 ,Melbourne City Council,Metro,Metro,Melbourne,,,,,215queensmelb@gmail.com,+61 3 9112 5814,https://www.215queens.com/events,Venue,84,Small,Restaurant or Cafe,Live,,Under 500,,Restaurant and Cafe Licence,Ordinary trading hours,1 or more a week,Regular presenters: Hosting one gig per week,,,,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,,,Venues,-37.813809,144.959872,-37.7627415,144.972977,-37.7627415,144.972977
