LGA,Venue Count,Avg Frequency,Total Capacity,Avg Capacity,LGA Name,Total Revenue (AUD),Population,Venues Per 10k Population,Total Capacity Per Population,Revenue Per Capita,Frequency Weighted Venue Density,Gig Density Score
Alpine Shire Council,30,1.9833333333333334,6856.0,228.53333333333333,Alpine Shire Council,41100000,13182,22.75830678197542,0.520103170990745,3117.8880291306327,45.13730845091792,45.13730845091792
Ararat Rural City Council,8,0.35,2607.0,325.875,Ararat Rural City Council,36600000,11683,6.847556278353163,0.2231447402208337,3132.756997346572,2.3966446974236066,2.3966446974236066
Ballarat City Council,71,2.1253521126760564,18514.0,260.76056338028167,Ballarat City Council,273300000,118137,6.009971473797371,0.15671635474068243,2313.4157799842556,12.773305568958074,12.773305568958076
Banyule City Council,17,1.6764705882352942,5474.0,322.0,Banyule City Council,173200000,129602,1.3117081526519654,0.04223700251539328,1336.399129643061,2.199040138269471,2.1990401382694715
Bass Coast Shire Council,38,1.5815789473684212,8139.0,214.18421052631578,Bass Coast Shire Council,116500000,42729,8.893257506611434,0.19047953380608018,2726.4855250532423,14.065388845982824,14.065388845982822
Baw Baw Shire Council,34,1.1029411764705883,9711.0,285.61764705882354,Baw Baw Shire Council,147800000,60644,5.606490337049007,0.1601312578325968,2437.1743288701273,6.183629048215817,6.183629048215817
Bayside City Council,29,1.396551724137931,5004.0,172.55172413793105,Bayside City Council,173200000,104272,2.7811876630351393,0.047989872640785636,1661.040355992021,3.8840724259628665,3.884072425962867
Benalla Rural City Council,3,0.06666666666666667,500.0,166.66666666666666,Benalla Rural City Council,39300000,14529,2.0648358455502787,0.03441393075917131,2704.934957670865,0.13765572303668525,0.13765572303668525
Boroondara City Council,16,2.29375,5220.0,326.25,Boroondara City Council,253900000,174537,0.916711069859113,0.02990769865415356,1454.70587898268,2.1027060164893405,2.1027060164893405
Brimbank City Council,26,1.0961538461538463,11442.0,440.0769230769231,Brimbank City Council,243500000,196046,1.3262193566815952,0.05836385338134927,1242.0554359691093,1.4537404486702101,1.4537404486702104
Buloke Shire Council,16,0.3125,1846.0,115.375,Buloke Shire Council,38400000,6040,26.490066225165563,0.30562913907284767,6357.615894039735,8.278145695364238,8.278145695364238
Campaspe Shire Council,37,1.8918918918918919,6740.0,182.16216216216216,Campaspe Shire Council,92100000,38299,9.660826653437427,0.1759837071464007,2404.7625264367216,18.277239614611346,18.277239614611346
Cardinia Shire Council,26,1.2576923076923079,7411.0,285.03846153846155,Cardinia Shire Council,121600000,126960,2.0478890989287963,0.05837271581600504,957.7819785759294,2.5756143667296785,2.575614366729679
Casey City Council,14,1.3214285714285714,8198.0,585.5714285714286,Casey City Council,353600000,392110,0.3570426665986586,0.020907398434112875,901.7877636377547,0.4718063808625131,0.4718063808625131
Central Goldfields Shire Council,7,1.5714285714285714,2771.0,395.85714285714283,Central Goldfields Shire Council,36900000,13574,5.156917636658317,0.20414026815971711,2718.432297038456,8.103727714748784,8.103727714748784
Colac-Otway Shire Council,19,1.9789473684210528,3786.0,199.26315789473685,Colac-Otway Shire Council,63800000,22273,8.530507789700534,0.169981592062138,2864.4547209626003,16.881425941723162,16.881425941723165
Corangamite Shire Council,15,1.1333333333333333,3050.0,203.33333333333334,Corangamite Shire Council,55700000,15948,9.405568096313017,0.191246551291698,3492.600953097567,10.659643842488085,10.659643842488085
