LGA Name,Total Revenue (AUD),Population
Alpine Shire Council,41100000,13182
Ararat Rural City Council,36600000,11683
Ballarat City Council,273300000,118137
Banyule City Council,173200000,129602
Bass Coast Shire Council,116500000,42729
Baw Baw Shire Council,147800000,60644
Bayside City Council,173200000,104272
Benalla Rural City Council,39300000,14529
Boroondara City Council,253900000,174537
Brimbank City Council,243500000,196046
Buloke Shire Council,38400000,6040
Campaspe Shire Council,92100000,38299
Cardinia Shire Council,121600000,126960
Casey City Council,353600000,392110
Central Goldfields Shire Council,36900000,13574
Colac-Otway Shire Council,63800000,22273
Corangamite Shire Council,55700000,15948
Darebin City Council,191800000,155683
East Gippsland Shire Council,141600000,49179
Frankston City Council,207800000,142826
Gannawarra Shire Council,40600000,10420
Glen Eira City Council,188500000,156837
Glenelg Shire Council,60300000,20022
Golden Plains Shire Council,52500000,25818
Greater Bendigo City Council,245400000,124174
Greater Dandenong City Council,249500000,163792
Greater Geelong City Council,567000000,282809
Greater Shepparton City Council,165100000,69135
Hepburn Shire Council,47100000,16670
Hindmarsh Shire Council,26400000,5559
Hobsons Bay City Council,160700000,93738
Horsham Rural City Council,60600000,20315
Hume City Council,243500000,262764
Indigo Shire Council,42800000,17662
Kingston City Council,253800000,163724
Knox City Council,191900000,161766
Latrobe City Council,176100000,78154
Loddon Shire Council,33400000,7747
Macedon Ranges Shire Council,126900000,52920
Manningham City Council,169700000,129514
Mansfield Shire Council,29900000,10546
Maribyrnong City Council,160300000,91762
Maroondah City Council,161800000,117434
Melbourne City Council,519200000,177396
Melton City Council,121600000,206070
Merri-Bek City Council,248400000,181223
Mildura Rural City Council,147600000,57554
Mitchell Shire Council,121600000,53723
Moira Shire Council,79200000,30775
Monash City Council,216800000,203560
Moonee Valley City Council,200600000,126486
Moorabool Shire Council,75800000,39092
Mornington Peninsula Shire Council,123700000,170243
Mount Alexander Shire Council,48800000,20576
Moyne Shire Council,57500000,17610
Murrindindi Shire Council,40200000,15482
Nillumbik Shire Council,89700000,63264
Northern Grampians Shire Council,42900000,11879
Port Phillip City Council,243500000,109515
Pyrenees Shire Council,27700000,7786
Queenscliffe Borough Council,20200000,3238
South Gippsland Shire Council,89700000,30823
Southern Grampians Shire Council,48900000,16470
Stonnington City Council,196600000,111335
Strathbogie Shire Council,36400000,11578
Surf Coast Shire Council,102800000,39292
Swan Hill Rural City Council,65200000,21212
Towong Shire Council,32000000,6243
Wangaratta Rural City Council,84700000,30002
Warrnambool City Council,93300000,35907
Wellington Shire Council,123700000,46124
West Wimmera Shire Council,26700000,3933
Whitehorse City Council,211400000,178639
Whittlesea City Council,353600000,245029
Wodonga City Council,87300000,44276
Wyndham City Council,248400000,324087
Yarra City Council,202600000,97448
Yarra Ranges Shire Council,248400000,158694
Yarriambiack Shire Council,33000000,6389
